country_iso3,year,coal_electricity_share,score_tariff_trade_protection
AUS,2019,56.352013,56.352013
AUS,2020,53.905334,53.905334
AUS,2021,51.374084,51.374084
AUS,2022,47.343544,47.343544
AUS,2023,45.99246,45.99246
AUS,2024,45.50554,45.50554
AUT,1990,12.563426,12.563426
AUT,1991,13.636364,13.636364
AUT,1992,8.238124,8.238124
AUT,1993,5.8078346,5.8078346
AUT,1994,5.967276,5.967276
AUT,1995,7.8474116,7.8474116
AUT,1996,9.878391,9.878391
AUT,1997,10.487497,10.487497
AUT,1998,7.3987823,7.3987823
AUT,1999,7.4012055,7.4012055
AUT,2000,9.5908785,9.5908785
AUT,2001,11.298786,11.298786
AUT,2002,10.902194,10.902194
AUT,2003,14.559254,14.559254
AUT,2004,12.789005,12.789005
AUT,2005,11.138729,11.138729
AUT,2006,11.84697,11.84697
AUT,2007,10.504536,10.504536
AUT,2008,8.589624,8.589624
AUT,2009,5.6789007,5.6789007
AUT,2010,7.2544975,7.2544975
AUT,2011,8.729903,8.729903
AUT,2012,6.394756,6.394756
AUT,2013,6.5220757,6.5220757
AUT,2014,4.7766047,4.7766047
AUT,2015,4.775008,4.775008
AUT,2016,3.1447508,3.1447508
AUT,2017,2.6233418,2.6233418
AUT,2018,2.7988248,2.7988248
AUT,2019,2.1219409,2.1219409
AUT,2020,0.81112397,0.81112397
AUT,2021,0,0
AUT,2022,0,0
AUT,2023,0,0
AUT,2024,0,0
AZE,2000,0,0
AZE,2001,0,0
AZE,2002,0,0
AZE,2003,0,0
AZE,2004,0,0
AZE,2005,0,0
AZE,2006,0,0
AZE,2007,0,0
AZE,2008,0,0
AZE,2009,0,0
AZE,2010,0,0
AZE,2011,0,0
AZE,2012,0,0
AZE,2013,0,0
AZE,2014,0,0
AZE,2015,0,0
AZE,2016,0,0
AZE,2017,0,0
AZE,2018,0,0
AZE,2019,0,0
AZE,2020,0,0
AZE,2021,0,0
AZE,2022,0,0
AZE,2023,0,0
AZE,2024,0,0
BHS,2000,0,0
BHS,2001,0,0
BHS,2002,0,0
BHS,2003,0,0
BHS,2004,0,0
BHS,2005,0,0
BHS,2006,0,0
BHS,2007,0,0
BHS,2008,0,0
BHS,2009,0,0
BHS,2010,0,0
BHS,2011,0,0
BHS,2012,0,0
BHS,2013,0,0
BHS,2014,0,0
BHS,2015,0,0
BHS,2016,0,0
BHS,2017,0,0
BHS,2018,0,0
BHS,2019,0,0
BHS,2020,0,0
BHS,2021,0,0
BHS,2022,0,0
BHR,2000,0,0
BHR,2001,0,0
BHR,2002,0,0
BHR,2003,0,0
BHR,2004,0,0
BHR,2005,0,0
BHR,2006,0,0
BHR,2007,0,0
BHR,2008,0,0
BHR,2009,0,0
BHR,2010,0,0
BHR,2011,0,0
BHR,2012,0,0
BHR,2013,0,0
BHR,2014,0,0
BHR,2015,0,0
BHR,2016,0,0
BHR,2017,0,0
BHR,2018,0,0
BHR,2019,0,0
BHR,2020,0,0
BHR,2021,0,0
BHR,2022,0,0
BHR,2023,0,0
BGD,2000,0,0
BGD,2001,0,0
BGD,2002,0,0
BGD,2003,0,0
BGD,2004,0,0
BGD,2005,0.5934718,0.5934718
BGD,2006,0.928382,0.928382
BGD,2007,2.3878672,2.3878672
BGD,2008,3.2135556,3.2135556
BGD,2009,2.9277465,2.9277465
BGD,2010,1.8844836,1.8844836
BGD,2011,1.8769786,1.8769786
BGD,2012,1.9333608,1.9333608
BGD,2013,2.3059618,2.3059618
BGD,2014,1.9625335,1.9625335
BGD,2015,1.686625,1.686625
BGD,2016,1.4908091,1.4908091
BGD,2017,1.4023145,1.4023145
BGD,2018,2.2615287,2.2615287
BGD,2019,1.5274351,1.5274351
BGD,2020,3.685935,3.685935
BGD,2021,5.541035,5.541035
BGD,2022,5.5354524,5.5354524
BGD,2023,10.069705,10.069705
BGD,2024,20.156332,20.156332
BRB,2000,0,0
BRB,2001,0,0
BRB,2002,0,0
BRB,2003,0,0
BRB,2004,0,0
BRB,2005,0,0
BRB,2006,0,0
BRB,2007,0,0
BRB,2008,0,0
BRB,2009,0,0
BRB,2010,0,0
BRB,2011,0,0
BRB,2012,0,0
BRB,2013,0,0
BRB,2014,0,0
BRB,2015,0,0
BRB,2016,0,0
BRB,2017,0,0
BRB,2018,0,0
BRB,2019,0,0
BRB,2020,0,0
BRB,2021,0,0
BRB,2022,0,0
BRB,2023,0,0
BLR,2000,0,0
BLR,2001,0,0
BLR,2002,0,0
BLR,2003,0,0
BLR,2004,0,0
BLR,2005,0,0
BLR,2006,0,0
BLR,2007,0.0314169,0.0314169
BLR,2008,0.02853067,0.02853067
BLR,2009,0.03292723,0.03292723
BLR,2010,0.08595988,0.08595988
BLR,2011,0.0621311,0.0621311
BLR,2012,0.06491399,0.06491399
BLR,2013,0.06347191,0.06347191
BLR,2014,0.08635578,0.08635578
BLR,2015,0.11733646,0.11733646
BLR,2016,0.089365505,0.089365505
BLR,2017,0.086931325,0.086931325
BLR,2018,0.0769428,0.0769428
BLR,2019,0.07414731,0.07414731
BLR,2020,0.0778412,0.0778412
BLR,2021,0.07272727,0.07272727
BLR,2022,0.080688536,0.080688536
BLR,2023,0.06883891,0.06883891
BLR,2024,0.066210546,0.066210546
BEL,1990,24.313559,24.313559
BEL,1991,23.19146,23.19146
BEL,1992,22.41669,22.41669
BEL,1993,23.25913,23.25913
BEL,1994,23.801514,23.801514
BEL,1995,22.470078,22.470078
BEL,1996,20.694704,20.694704
BEL,1997,17.655369,17.655369
BEL,1998,17.285906,17.285906
BEL,1999,11.922753,11.922753
BEL,2000,15.605749,15.605749
BEL,2001,12.641485,12.641485
BEL,2002,12.391894,12.391894
BEL,2003,11.53524,11.53524
BEL,2004,11.036062,11.036062
BEL,2005,9.717943,9.717943
BEL,2006,8.219342,8.219342
BEL,2007,7.4530582,7.4530582
BEL,2008,6.681917,6.681917
BEL,2009,5.7709446,5.7709446
BEL,2010,4.5146728,4.5146728
BEL,2011,3.8982863,3.8982863
BEL,2012,4.158999,4.158999
BEL,2013,3.6729715,3.6729715
BEL,2014,2.9353933,2.9353933
BEL,2015,3.024989,3.024989
BEL,2016,0.46257856,0.46257856
BEL,2017,0,0
BEL,2018,0,0
BEL,2019,0,0
BEL,2020,0,0
BEL,2021,0,0
BEL,2022,0,0
BEL,2023,0,0
BEL,2024,0,0
BLZ,2000,0,0
BLZ,2001,0,0
BLZ,2002,0,0
BLZ,2003,0,0
BLZ,2004,0,0
BLZ,2005,0,0
BLZ,2006,0,0
BLZ,2007,0,0
BLZ,2008,0,0
BLZ,2009,0,0
BLZ,2010,0,0
BLZ,2011,0,0
BLZ,2012,0,0
BLZ,2013,0,0
BLZ,2014,0,0
BLZ,2015,0,0
BLZ,2016,0,0
BLZ,2017,0,0
BLZ,2018,0,0
BLZ,2019,0,0
BLZ,2020,0,0
BLZ,2021,0,0
BLZ,2022,0,0
BLZ,2023,0,0
BEN,2000,0,0
BEN,2001,0,0
BEN,2002,0,0
BEN,2003,0,0
BEN,2004,0,0
BEN,2005,0,0
BEN,2006,0,0
BEN,2007,0,0
BEN,2008,0,0
BEN,2009,0,0
BEN,2010,0,0
BEN,2011,0,0
BEN,2012,0,0
BEN,2013,0,0
BEN,2014,0,0
BEN,2015,0,0
BEN,2016,0,0
BEN,2017,0,0
BEN,2018,0,0
BEN,2019,0,0
BEN,2020,0,0
BEN,2021,0,0
BEN,2022,0,0
BEN,2023,0,0
BMU,2000,0,0
BMU,2001,0,0
BMU,2002,0,0
BMU,2003,0,0
BMU,2004,0,0
BMU,2005,0,0
BMU,2006,0,0
BMU,2007,0,0
BMU,2008,0,0
BMU,2009,0,0
BMU,2010,0,0
BMU,2011,0,0
BMU,2012,0,0
BMU,2013,0,0
BMU,2014,0,0
BMU,2015,0,0
BMU,2016,0,0
BMU,2017,0,0
BMU,2018,0,0
BMU,2019,0,0
BMU,2020,0,0
BMU,2021,0,0
BMU,2022,0,0
BMU,2023,0,0
BTN,2000,0,0
BTN,2001,0,0
BTN,2002,0,0
BTN,2003,0,0
BTN,2004,0,0
BTN,2005,0,0
BTN,2006,0,0
BTN,2007,0,0
BTN,2008,0,0
BTN,2009,0,0
BTN,2010,0,0
BTN,2011,0,0
BTN,2012,0,0
BTN,2013,0,0
BTN,2014,0,0
BTN,2015,0,0
BTN,2016,0,0
BTN,2017,0,0
BTN,2018,0,0
BTN,2019,0,0
BTN,2020,0,0
BTN,2021,0,0
BTN,2022,0,0
BTN,2023,0,0
BOL,2000,0,0
BOL,2001,0,0
BOL,2002,0,0
BOL,2003,0,0
BOL,2004,0,0
BOL,2005,0,0
BOL,2006,0,0
BOL,2007,0,0
BOL,2008,0,0
BOL,2009,0,0
BOL,2010,0,0
BOL,2011,0,0
BOL,2012,0,0
BOL,2013,0,0
BOL,2014,0,0
BOL,2015,0,0
BOL,2016,0,0
BOL,2017,0,0
BOL,2018,0,0
BOL,2019,0,0
BOL,2020,0,0
BOL,2021,0,0
BOL,2022,0,0
BOL,2023,0,0
BOL,2024,0,0
BIH,2000,50.719078,50.719078
BIH,2001,50.423332,50.423332
BIH,2002,49.860985,49.860985
BIH,2003,58.828747,58.828747
BIH,2004,52.003143,52.003143
BIH,2005,51.26984,51.26984
BIH,2006,54.85327,54.85327
BIH,2007,64.7708,64.7708
BIH,2008,66.803,66.803
BIH,2009,59.10853,59.10853
BIH,2010,51.978737,51.978737
BIH,2011,70.272064,70.272064
BIH,2012,69.37002,69.37002
BIH,2013,57.56522,57.56522
BIH,2014,64.65061,64.65061
BIH,2015,65.73341,65.73341
BIH,2016,67.87126,67.87126
BIH,2017,75.98522,75.98522
BIH,2018,65.23335,65.23335
BIH,2019,62.916187,62.916187
BIH,2020,70.57772,70.57772
BIH,2021,60.836502,60.836502
BIH,2022,67.5841,67.5841
BIH,2023,59.632484,59.632484
BIH,2024,62.153233,62.153233
BWA,2000,97.36842,97.36842
BWA,2001,98.23009,98.23009
BWA,2002,97.391304,97.391304
BWA,2003,97.11539,97.11539
BWA,2004,94.84536,94.84536
BWA,2005,99.0566,99.0566
BWA,2006,98.9899,98.9899
BWA,2007,98.79518,98.79518
BWA,2008,100,100
BWA,2009,100,100
BWA,2010,100,100
BWA,2011,91.66667,91.66667
BWA,2012,71.42857,71.42857
BWA,2013,82.608696,82.608696
BWA,2014,95.671,95.671
BWA,2015,96.296295,96.296295
BWA,2016,99.62825,99.62825
BWA,2017,99.66888,99.66888
BWA,2018,99.35691,99.35691
BWA,2019,99.60159,99.60159
BWA,2020,97.247696,97.247696
BWA,2021,95.98394,95.98394
BWA,2022,95.70313,95.70313
BWA,2023,95.7529,95.7529
BRA,1985,2.5531232,2.5531232
BRA,1986,3.059548,3.059548
BRA,1987,2.6606712,2.6606712
BRA,1988,2.193346,2.193346
BRA,1989,2.4572637,2.4572637
BRA,1990,2.0736642,2.0736642
BRA,1991,2.3610578,2.3610578
BRA,1992,2.071243,2.071243
BRA,1993,1.9478256,1.9478256
BRA,1994,1.9114972,1.9114972
BRA,1995,1.9747455,1.9747455
BRA,1996,2.0689547,2.0689547
BRA,1997,2.3736134,2.3736134
BRA,1998,2.1674154,2.1674154
BRA,1999,2.902364,2.902364
BRA,2000,3.1324337,3.1324337
BRA,2001,3.3723938,3.3723938
BRA,2002,2.6379728,2.6379728
BRA,2003,2.4726255,2.4726255
BRA,2004,2.6761982,2.6761982
BRA,2005,2.649664,2.649664
BRA,2006,2.496126,2.496126
BRA,2007,2.2644053,2.2644053
BRA,2008,2.5821495,2.5821495
BRA,2009,2.1387048,2.1387048
BRA,2010,2.188833,2.188833
BRA,2011,2.36949,2.36949
BRA,2012,2.6190045,2.6190045
BRA,2013,3.8487813,3.8487813
BRA,2014,4.5550756,4.5550756
BRA,2015,4.64196,4.64196
BRA,2016,4.4343486,4.4343486
BRA,2017,3.87735,3.87735
BRA,2018,3.458654,3.458654
BRA,2019,3.4231758,3.4231758
BRA,2020,2.8230166,2.8230166
BRA,2021,3.6945026,3.6945026
BRA,2022,2.0969625,2.0969625
BRA,2023,1.9958028,1.9958028
BRA,2024,2.0999382,2.0999382
VGB,2000,0,0
VGB,2001,0,0
VGB,2002,0,0
VGB,2003,0,0
VGB,2004,0,0
VGB,2005,0,0
VGB,2006,0,0
VGB,2007,0,0
VGB,2008,0,0
VGB,2009,0,0
VGB,2010,0,0
VGB,2011,0,0
VGB,2012,0,0
VGB,2013,0,0
VGB,2014,0,0
VGB,2015,0,0
VGB,2016,0,0
VGB,2017,0,0
VGB,2018,0,0
VGB,2019,0,0
VGB,2020,0,0
VGB,2021,0,0
VGB,2022,0,0
VGB,2023,0,0
BRN,2000,0,0
BRN,2001,0,0
BRN,2002,0,0
BRN,2003,0,0
BRN,2004,0,0
BRN,2005,0,0
BRN,2006,0,0
BRN,2007,0,0
BRN,2008,0,0
BRN,2009,0,0
BRN,2010,0,0
BRN,2011,0,0
BRN,2012,0,0
BRN,2013,0,0
BRN,2014,0,0
BRN,2015,0,0
BRN,2016,0,0
BRN,2017,0,0
BRN,2018,0,0
BRN,2019,9.736308,9.736308
BRN,2020,21.428572,21.428572
BRN,2021,21.754387,21.754387
BRN,2022,21.607143,21.607143
BRN,2023,21.645796,21.645796
BGR,1990,50.071594,50.071594
BGR,1991,51.06906,51.06906
BGR,1992,50.253952,50.253952
BGR,1993,45.348835,45.348835
BGR,1994,44.47077,44.47077
BGR,1995,41.608643,41.608643
BGR,1996,40.206184,40.206184
BGR,1997,44.36355,44.36355
BGR,1998,44.181557,44.181557
BGR,1999,42.894806,42.894806
BGR,2000,41.734417,41.734417
BGR,2001,44.889503,44.889503
BGR,2002,40.826996,40.826996
BGR,2003,45.50615,45.50615
BGR,2004,45.696323,45.696323
BGR,2005,42.059692,42.059692
BGR,2006,42.011444,42.011444
BGR,2007,52.241947,52.241947
BGR,2008,52.101593,52.101593
BGR,2009,49.870007,49.870007
BGR,2010,49.227085,49.227085
BGR,2011,55.104084,55.104084
BGR,2012,49.225143,49.225143
BGR,2013,45.072056,45.072056
BGR,2014,45.417732,45.417732
BGR,2015,46.253338,46.253338
BGR,2016,43.498768,43.498768
BGR,2017,46.654774,46.654774
BGR,2018,40.120407,40.120407
BGR,2019,39.341263,39.341263
BGR,2020,33.6572,33.6572
BGR,2021,36.19229,36.19229
BGR,2022,43.337315,43.337315
BGR,2023,29.244576,29.244576
BGR,2024,21.572853,21.572853
BFA,2000,0,0
BFA,2001,0,0
BFA,2002,0,0
BFA,2003,0,0
BFA,2004,0,0
BFA,2005,0,0
BFA,2006,0,0
BFA,2007,0,0
BFA,2008,0,0
BFA,2009,0,0
BFA,2010,0,0
BFA,2011,0,0
BFA,2012,0,0
BFA,2013,0,0
BFA,2014,0,0
BFA,2015,0,0
BFA,2016,0,0
BFA,2017,0,0
BFA,2018,0,0
BFA,2019,0,0
BFA,2020,0,0
BFA,2021,0,0
BFA,2022,0,0
BFA,2023,0,0
BDI,2000,0,0
BDI,2001,0,0
BDI,2002,0,0
BDI,2003,0,0
BDI,2004,0,0
BDI,2005,0,0
BDI,2006,0,0
BDI,2007,0,0
BDI,2008,0,0
BDI,2009,0,0
BDI,2010,0,0
BDI,2011,0,0
BDI,2012,0,0
BDI,2013,0,0
BDI,2014,0,0
BDI,2015,0,0
BDI,2016,0,0
BDI,2017,0,0
BDI,2018,0,0
BDI,2019,0,0
BDI,2020,0,0
BDI,2021,0,0
BDI,2022,0,0
BDI,2023,0,0
KHM,2000,0,0
KHM,2001,0,0
KHM,2002,0,0
KHM,2003,0,0
KHM,2004,0,0
KHM,2005,0,0
KHM,2006,0,0
KHM,2007,0,0
KHM,2008,0,0
KHM,2009,2.3809524,2.3809524
KHM,2010,2.970297,2.970297
KHM,2011,4.7169814,4.7169814
KHM,2012,2.7397258,2.7397258
KHM,2013,9.944752,9.944752
KHM,2014,29.260452,29.260452
KHM,2015,50.65502,50.65502
KHM,2016,46.77138,46.77138
KHM,2017,54.744526,54.744526
KHM,2018,37.5,37.5
KHM,2019,43.473454,43.473454
KHM,2020,46.09375,46.09375
KHM,2021,36.21032,36.21032
KHM,2022,32.300472,32.300472
KHM,2023,55.119823,55.119823
KHM,2024,56.10687,56.10687
CMR,2000,0,0
CMR,2001,0,0
CMR,2002,0,0
CMR,2003,0,0
CMR,2004,0,0
CMR,2005,0,0
CMR,2006,0,0
CMR,2007,0,0
CMR,2008,0,0
CMR,2009,0,0
CMR,2010,0,0
CMR,2011,0,0
CMR,2012,0,0
CMR,2013,0,0
CMR,2014,0,0
CMR,2015,0,0
CMR,2016,0,0
CMR,2017,0,0
CMR,2018,0,0
CMR,2019,0,0
CMR,2020,0,0
CMR,2021,0,0
CMR,2022,0,0
CMR,2023,0,0
CAN,1985,17.307661,17.307661
CAN,1986,15.285838,15.285838
CAN,1987,16.96986,16.96986
CAN,1988,18.133427,18.133427
CAN,1989,18.41766,18.41766
CAN,1990,17.108023,17.108023
CAN,1991,17.452839,17.452839
CAN,1992,17.359303,17.359303
CAN,1993,15.537345,15.537345
CAN,1994,15.667705,15.667705
CAN,1995,16.420347,16.420347
CAN,1996,15.678393,15.678393
CAN,1997,16.93498,16.93498
CAN,1998,18.86037,18.86037
CAN,1999,18.378557,18.378557
CAN,2000,19.249115,19.249115
CAN,2001,19.002655,19.002655
CAN,2002,18.456459,18.456459
CAN,2003,18.6241,18.6241
CAN,2004,16.69173,16.69173
CAN,2005,16.576954,16.576954
CAN,2006,15.765166,15.765166
CAN,2007,16.788343,16.788343
CAN,2008,15.871267,15.871267
CAN,2009,13.800968,13.800968
CAN,2010,14.241469,14.241469
CAN,2011,12.518213,12.518213
CAN,2012,10.894837,10.894837
CAN,2013,10.758133,10.758133
CAN,2014,10.625297,10.625297
CAN,2015,9.8263445,9.8263445
CAN,2016,9.731347,9.731347
CAN,2017,9.380087,9.380087
CAN,2018,8.014996,8.014996
CAN,2019,7.642943,7.642943
CAN,2020,6.0911455,6.0911455
CAN,2021,5.4621267,5.4621267
CAN,2022,4.114121,4.114121
CAN,2023,3.8724554,3.8724554
CAN,2024,4.164674,4.164674
CPV,2000,0,0
CPV,2001,0,0
CPV,2002,0,0
CPV,2003,0,0
CPV,2004,0,0
CPV,2005,0,0
CPV,2006,0,0
CPV,2007,0,0
CPV,2008,0,0
CPV,2009,0,0
CPV,2010,0,0
CPV,2011,0,0
CPV,2012,0,0
CPV,2013,0,0
CPV,2014,0,0
CPV,2015,0,0
CPV,2016,0,0
CPV,2017,0,0
CPV,2018,0,0
CPV,2019,0,0
CPV,2020,0,0
CPV,2021,0,0
CPV,2022,0,0
CYM,2000,0,0
CYM,2001,0,0
CYM,2002,0,0
CYM,2003,0,0
CYM,2004,0,0
CYM,2005,0,0
CYM,2006,0,0
CYM,2007,0,0
CYM,2008,0,0
CYM,2009,0,0
CYM,2010,0,0
CYM,2011,0,0
CYM,2012,0,0
CYM,2013,0,0
CYM,2014,0,0
CYM,2015,0,0
CYM,2016,0,0
CYM,2017,0,0
CYM,2018,0,0
CYM,2019,0,0
CYM,2020,0,0
CYM,2021,0,0
CYM,2022,0,0
CYM,2023,0,0
CAF,2000,0,0
CAF,2001,0,0
CAF,2002,0,0
CAF,2003,0,0
CAF,2004,0,0
CAF,2005,0,0
CAF,2006,0,0
CAF,2007,0,0
CAF,2008,0,0
CAF,2009,0,0
CAF,2010,0,0
CAF,2011,0,0
CAF,2012,0,0
CAF,2013,0,0
CAF,2014,0,0
CAF,2015,0,0
CAF,2016,0,0
CAF,2017,0,0
CAF,2018,0,0
CAF,2019,0,0
CAF,2020,0,0
CAF,2021,0,0
CAF,2022,0,0
TCD,2000,0,0
TCD,2001,0,0
TCD,2002,0,0
TCD,2003,0,0
TCD,2004,0,0
TCD,2005,0,0
TCD,2006,0,0
TCD,2007,0,0
TCD,2008,0,0
TCD,2009,0,0
TCD,2010,0,0
TCD,2011,0,0
TCD,2012,0,0
TCD,2013,0,0
TCD,2014,0,0
TCD,2015,0,0
TCD,2016,0,0
TCD,2017,0,0
TCD,2018,0,0
TCD,2019,0,0
TCD,2020,0,0
TCD,2021,0,0
TCD,2022,0,0
CHL,2000,20.59825,20.59825
CHL,2001,11.436673,11.436673
CHL,2002,11.625231,11.625231
CHL,2003,10.465365,10.465365
CHL,2004,15.137255,15.137255
CHL,2005,13.806971,13.806971
CHL,2006,19.25872,19.25872
CHL,2007,22.752232,22.752232
CHL,2008,23.730238,23.730238
CHL,2009,24.681133,24.681133
CHL,2010,28.000002,28.000002
CHL,2011,29.885757,29.885757
CHL,2012,36.423748,36.423748
CHL,2013,41.51565,41.51565
