
Entity,Code,Year,Coal_CO2_Emissions,Global_Share
South Africa,ZAF,2023,329772960.0,0.021420048768599643
South Korea,KOR,2023,251869860.0,0.016359936498554533
Spain,ESP,2023,13552842.0,0.0008803103098359717
Sri Lanka,LKA,2023,5965279.0,0.00038746829666781447
Sweden,SWE,2023,6790012.0,0.0004410379437397681
Switzerland,CHE,2023,431417.0,2.802222832218552e-05
Syria,SYR,2023,8704.0,5.653589805601141e-07
Taiwan,TWN,2023,145029220.0,0.009420217367949048
Tajikistan,TJK,2023,3395577.0,0.0002205560605621979
Tanzania,TZA,2023,2540356.0,0.000165006098164036
Thailand,THA,2023,59327092.0,0.0038535276025638905
Turkey,TUR,2023,157877940.0,0.0102547921888018
Turkmenistan,TKM,2023,4.0,2.598157079779936e-10
Uganda,UGA,2023,0.0,0.0
Ukraine,UKR,2023,53042716.0,0.0034453327026539122
United Arab Emirates,ARE,2023,9257262.0,0.0006012955201169443
United Kingdom,GBR,2023,17556306.0,0.0011403510182170743
United States,USA,2023,776767170.0,0.050454078051903134
Uruguay,URY,2023,0.0,0.0
Uzbekistan,UZB,2023,15053507.0,0.0009777843946891707
Venezuela,VEN,2023,672758.0,4.369827401696476e-05
Vietnam,VNM,2023,192076900.0,0.012476148939929571
Yemen,YEM,2023,670204.0,4.353238168742081e-05
Zambia,ZMB,2023,2387755.0,0.00015509406395074855
Zimbabwe,ZWE,2023,7270984.0,0.000472278963914166
